V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
0,26.28,271.1,282.5,101.5,250.8,334,244,0.921797226,0.914725772,0.940116659,1,0.085274228,0.086531613,0.82682576,8,51.2
0,18.56,264.3,318.25,146.5,227.2222222,293,124,0.876442169,0.822776179,0.919800084,0.982942601,0.160166421,0.150169767,0.293804152,23,0.5
0,18.92,329,342.5,140,330.5,366,70.5,0.725126137,0.78959175,0.796305684,0.88844429,0.098852541,0.091082252,0.255027967,6,5.5
1,7,43.85714286,58.5,25.5,29.85714286,39,26.5,0.799177862,0.638816782,0.909574468,0.971223022,0.33240624,0.102660202,0.045092358,3,0
1,7.4,72.77777778,96,40,228,296,175.75,0.483074708,0.265067927,0.491105879,0.695041033,0.429973107,1.596559678,1.677615093,15,20.81818182
1,7.28,21.125,21.25,10,32.875,30,15,0.689177577,0.640947145,0.753296866,0.805737034,0.164789889,0.006244141,0.000536092,3,0.125
1,4.24,69.85714286,57,32.5,96,147,102.5,0.555759811,0.315602837,0.576050661,0.840199734,0.524596897,2.910112293,5.791541686,5,0
1,5.68,34.4,43.5,30.25,28.88888889,32,16,0.773466297,0.639668435,0.925281736,0.975982164,0.336313729,0.081728613,0.032195997,424,0
1,3.28,29.66666667,26,12,30.66666667,31,5,0.750615403,0.638438562,0.7981684,0.936842105,0.298403543,0.099711609,0.074023111,6,0
1,6.48,173.4,229.75,176.5,101.8,167,139.25,0.863421738,0.810384084,0.920114943,1,0.189615916,9.809367253,15.80052013,10,13.3
