V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
0,33.04,432.1,388.5,92.25,604.1,680,153.25,0.760492122,0.730505964,0.809678218,0.833738643,0.103232679,0.059409776,0.358154009,13,156.3
0,18.16,390.2,436.25,183,488,562.75,176.75,0.632576129,0.544120984,0.620643964,0.730984728,0.186863744,0.259781167,0.383064124,18,37.6
0,8.36,394.6,375.75,150.5,258.3,399.5,290,0.83848349,0.734457468,0.876756924,0.991371273,0.256913805,11.8079556,8.420425569,16,0.2
0,30.04,422.9090909,427.5,69.5,553.2727273,661.5,114.5,0.840312403,0.788280325,0.850178924,0.907647324,0.119367,0.344191498,0.812788854,17,130.1818182
0,12.16,290.7777778,265,67,361.7777778,400,98,0.80716416,0.786035899,0.830513662,0.873783499,0.087747599,1.191965749,0.257148299,11,23.55555556
0,17.84,321.6,277,67.5,332.6,400.5,159.25,0.850085846,0.819083262,0.878873513,0.951939915,0.132856652,0.180843404,0.53163198,15,13.7
0,30.56,178.8,205.5,53.75,439.1,485.5,90,0.732253514,0.683964942,0.740695712,0.818336916,0.134371974,0.073116367,0.507099918,19,95
0,23.04,336.4,305.5,80,345.2,485.5,232.5,0.846404361,0.802848159,0.878954006,0.910544995,0.107696836,0.412701924,0.808857874,17,6.3
0,24.04,438.9090909,398.5,117.5,501,654.5,219.5,0.870464873,0.825030328,0.865582821,0.961953936,0.136923608,0.468135492,0.720378335,20,116
0,36.48,456.1,407,97.75,586.2,632.75,112.25,0.744508555,0.675343314,0.758496401,0.842380738,0.167037424,0.120658155,0.965605045,18,156.7
0,28.2,243.9,225.5,76.5,327.5,388.5,130.75,0.886200073,0.85883127,0.904130851,0.940039112,0.081207842,0.054316658,0.184253975,14,0
1,23.32,211.25,252.75,164,227,264,52.25,0.846301731,0.81220756,0.871086214,0.919093089,0.106885528,0.073080193,0.23890312,9,0
0,18.84,242.5,256.75,72.75,362.1111111,477,221,0.901650255,0.881779894,0.925775454,0.984930094,0.1031502,0.141119688,1.203710635,28,5.1
1,3.12,221.8888889,409,364,220.2222222,238,70,0.751664726,0.576551717,0.832636648,1,0.423448283,45.61097555,506.5379739,15,2.333333333
0,21.36,254.4,273,90.5,240,304.75,148.75,0.864019688,0.832274539,0.888409473,0.940144927,0.107870388,0.157250567,0.581032803,9,0
0,25.24,286.9090909,285,62.5,306.5454545,418.5,171,0.869711099,0.840777566,0.867489753,0.960572582,0.119795016,0.152877492,0.528143312,13,13.36363636
1,24.32,215.8888889,263,110,264.4444444,304,112,0.8683805,0.857205712,0.901562109,0.927751236,0.070545524,0.078389622,0.291206117,9,0
1,24.96,180.9,210,70.25,266.6,319.5,132,0.747728265,0.66044264,0.77662235,0.885985578,0.225542938,0.072781172,0.162197035,500,0.181818182
0,13.12,248.7,257,113.5,250.3,297.5,109.25,0.791131207,0.755780362,0.807991748,0.859615433,0.10383507,0.231741088,0.07940466,23,18.7
0,5,468.9090909,490.5,155.5,459.8,662,340.5,0.75089164,0.591839834,0.733141854,0.99218233,0.400342495,40.08826012,9.97697784,32,90.72727273
0,18.68,281,305.5,101.5,409.6363636,507,146.5,0.865008487,0.836027912,0.877852882,0.926590224,0.090562313,0.088106462,0.168237489,18,10.72727273
1,8.2,32.14285714,30,18,92,116,81.75,0.745876168,0.427672956,0.902777778,0.988319856,0.5606469,0.00268259,0.005221159,11,0
1,27.84,218.1,231,65.5,281.8,372.75,190,0.867373588,0.848154696,0.89370975,0.928396256,0.08024156,0.105707706,0.228305024,15,0
0,21.56,316.6363636,346.5,174,298.0909091,373,131.5,0.845228375,0.809315026,0.853818698,0.916845705,0.107530679,0.63693581,1.643086123,17,14.63636364
0,1.92,315.9,329.5,129,372.6,514.5,255.25,0.70106778,0.55045765,0.703811188,0.885938058,0.335480408,180.1351396,67.80633647,14,7.6
0,19.64,173.6666667,205,41,356.5555556,492,262,0.844101629,0.832939822,0.867526613,0.901795069,0.068855248,0.240682967,0.08480337,51,9.444444444
0,24.12,264.5555556,268,80,353.6666667,432,219,0.894255709,0.887325215,0.927413466,0.959750513,0.072425298,0.125855309,2.402905119,12,0
0,19.76,214.8,264.25,84.25,319.2,425.75,205.75,0.830783896,0.793945544,0.840104948,0.897810586,0.103865043,0.118818986,0.078619946,9,7.6
0,27.8,248,249,28.25,443.7272727,524,127,0.891923566,0.885628874,0.927220437,0.959603409,0.073974535,0.410192482,0.758348445,18,50.81818182
0,25.64,319.1666667,288.5,97.75,219.9166667,297.5,181.25,0.885647001,0.853007572,0.908084315,0.947845806,0.094838234,0.462738956,0.336845349,56,6.666666667
0,18.44,240.2,260.25,139.75,334.2,429.5,228,0.798913796,0.591286448,0.911702871,0.961108966,0.369822518,1.46775528,1.762919622,13,71.7
0,23.68,276.2,248.5,71.75,521.4,562.5,93.75,0.763753003,0.738080839,0.779255929,0.832023387,0.093942548,0.58176688,0.105850283,24,70
0,27.92,348.125,298,68.75,418.4444444,619,275,0.809481033,0.696839135,0.839294592,0.958075212,0.261236078,0.09849675,0.658681678,20,120
0,14.28,201.6666667,192,106,239.8888889,278,58,0.791081379,0.75000296,0.80614936,0.853029972,0.103027012,0.113481681,0.13546225,14,12.33333333
0,29.8,387,294.25,40.75,399.7,522.75,196.25,0.817197204,0.767109146,0.863727012,0.944890835,0.177781689,0.295914941,0.372495965,14,40.5
0,38.32,297.2,290.25,81,486.8,603.25,150.75,0.794105366,0.765844426,0.842072022,0.910642232,0.144797806,0.050972544,0.47446573,33,107
0,21.68,278.875,309.5,99.75,390.625,432.5,72.25,0.816901314,0.808866906,0.830049508,0.897442326,0.08857542,0.183774709,0.677202764,22,4
0,23.92,256.3,244.75,102.75,306.3,395.5,193.75,0.896868959,0.887838762,0.952330664,0.994779723,0.106940961,0.216849934,0.573039771,16,0.6
0,19.4,638.6,523,100.5,581.2,668.75,206,0.785019978,0.760876313,0.792844096,0.8463482,0.085471887,0.597948033,0.813114991,20,130.7
1,4.04,36.25,42.75,14.25,26.25,38,22.75,0.806559144,0.822957003,1,1,0.177042997,0.382043312,1.794253587,4,0
0,20.16,265.2727273,317,155.5,350.8181818,527.5,330.5,0.871309816,0.822563365,0.888875397,0.96473824,0.142174876,0.252232499,0.403337777,14,51.27272727
0,23.96,215.1,235,38.25,505.4,586.5,113,0.763083758,0.664047644,0.719975688,0.950364944,0.2863173,0.638618924,0.240133481,16,99.27272727
1,7.28,30,34,16,30,37.75,21.25,0.886409914,0.893946683,0.957671958,0.978126984,0.084180302,0.086481026,0.275359507,4,0
1,5.64,20.5,21.75,2.5,104,144.5,65.5,0.365930599,0,0.365930599,0.731861199,0.731861199,0.000168545,0.000407837,2,63.33333333
1,8.12,54.33333333,61,34,62.5,123,110.5,0.88223843,0.888802622,0.948006932,1,0.111197378,0.023337408,0.075484058,3,0
1,4.68,98,135.5,120,137,227,200,0.743434124,0.715930311,0.963314233,0.979265873,0.263335562,0.000334887,2.763882627,2,6.166666667
1,0.76,74,90,28,568.0909091,689.5,159.5,0.373459131,0.231857124,0.283245515,0.38423138,0.152374256,1167.102129,1208.231939,17,104.7272727
0,20.2,336.6,327,100.25,312.8,341,50.75,0.757224736,0.732177058,0.780329487,0.852615347,0.120438289,0.364015786,0.293436927,32,63
1,7.6,27.75,38.75,22.75,89.8,82,35,0.802384313,0.846237096,0.890892226,0.979991294,0.133754198,0.334192539,0.004186965,5,29.4
1,2.72,54.85714286,69.5,33.5,42.28571429,42.5,23.5,0.772109865,0.665490049,0.827487325,0.965382131,0.299892082,0.001127557,0.367339035,7,0
0,25.48,397.8181818,360,43.5,456.3636364,552,133,0.829190479,0.790533221,0.837977877,0.867166208,0.076632987,0.78278446,0.209608845,34,66.18181818
